TYPE,NAME,INFOHASH,SIZEBYTES,MIRRORS,DOWNLOADERS,TIMESCOMPLETED,DATEADDED,DATEMODIFIED
Course,"Democratic Development by Larry Diamond",1452d6a906d5d164c1adfc4b81a74a6690a8ec4b,3691712674,9,1,5062,1391175900,1391175900
Course,"MIT OCW 8.01 - Physics I - Classical Mechanics",f231c62635aadfb0e4d1f45ddc7b5b6c5592b275,2412434092,21,0,16758,1422047031,1599249619
Course,"MIT OCW 8.03 - Physics III - Vibrations and Waves",724648552d517756117b47b3a7f5f62962f2629e,2636137989,18,0,10231,1422047391,1599249654
Course,"MIT OCW 18.03 - Mathematics - Differential Equations",e7ef009c1929f074ea556bad005ddca0d99ac7aa,6319300522,17,0,12263,1422047977,1599249498
Course,"MIT OCW 7.014 - Introductory Biology",a2b8a74967e5166ab55bf5f248af8d564c39f795,6021455122,17,1,5510,1422048238,1599249619
Course,"Caltech CS156 - Machine Learning - Yaser",8190b5122515ab158cd29ccdb33ea946a3e529f4,3358232906,20,0,11331,1429908094,1599249260
Course,"Stanford EE364A - Convex Optimization I - Boyd",393dc896234b96a1cd251c14cfc65d2ff594d6e9,4458038066,11,0,2481,1429930458,1599249592
Course,"MIT OCW 6.451 Principles of Digital Communication II Spring 05",83259dc0c7dbd50073113cb1aa7a3e574faca70c,12641790915,14,0,5398,1444090938,1599249408
Course,"MIT OCW 8.02 - Physics II - Electricity and Magnetism",7010163eae33fbac6c065095e908c2c49550b931,4085011949,24,0,15246,1444182143,1599249639
Course,"2011 Harvard CS50 Introduction to Computer Science I",ee6f0ba62a717e7785abb5a98e45e2a08699f6c6,20910489048,12,2,14805,1446669407,1599249488
Course,"Neural Networks Video Lectures - Hugo Larochelle",e046bca3bc837053d1609ef33d623ee5c5af7300,6600745142,13,1,4485,1457110937,1599249434
Course,"CS231n: Convolutional Neural Networks for Visual Recognition 2016",46c5af9e2075d9af06f280b55b65cf9b44eb9fe7,10730933005,16,1,7617,1459114652,1599249437
Course,"CS224d: Deep Learning for Natural Language Processing (Spring 2016)",dd9b74b50a1292b4b154094b7338ec1d66e8894d,3829345114,16,1,10613,1462352701,1599249559
Course,"[Coursera] Web Intelligence and Big Data by Dr. Gautam Shroff",f871965e36ec21677d44375930d6cbb0dab7bfb3,1478650060,16,0,41593,1468459593,1599249663
Course,"[Coursera] How to Succeed in College by Dr. Jonathan Golding, Dr. Phil Kraemer (University of Kentucky)",956ac58723e9f39e766741a6ea794006d20807c3,754196560,16,0,5486,1468459623,1599249630
Course,"[Coursera] Mathematical Methods for Quantitative Finance by Dr. Kjell Konis (University of Washington)",dfc1ddde962101f00ef9764b91181bd6bb5c9e93,6421236690,17,0,13254,1468459668,1599249665
Course,"[Coursera] Analysis of Algorithms by Robert Sedgewick (Princeton University)",ebdac281fb3e9ed0a5c7abadcda3575f54c73a8f,1882637828,12,1,6075,1468459691,1599249662
Course,"[Coursera] Nanotechnology: The Basics by Professor Vicki Colvin, Daniel Mittleman (Rice University)",e54694787f54a7a0096d9b0f062d31a3a3925ae8,2392720056,11,0,1568,1468459752,1599249576
Course,"[Coursera] - (Operating Systems) by Professor Chen Xiangqun (Peking University)",3fca7db35ba4773d416cc6a297a196cec41fa9f4,3066748519,11,0,2726,1468459809,1599249548
Course,"[Coursera] Beginning Game Programming with C# (University of Colorado System)",0a7ba7e62821e488a0061751fdb81f4298733bea,2127977730,16,1,25993,1468459831,1599249658
Course,"[Coursera] Greek and Roman Mythology (University of Pennsylvania)",01212a89f842f5ad1364c7fa3a8c4c514e2b26ab,2299704331,15,0,2518,1468459889,1599249583
Course,"[Coursera] VLSI CAD: Logic to Layout by Rob A. Rutenbar (University of Illinois at Urbana-Champaign)",625ae5f99f1cfdc2b8eb42577ca5271ad78967e0,1436500392,11,0,6269,1468459925,1599249652
Course,"[Coursera] Preventing Chronic Pain A Human Systems Approach (University of Minnesota)",271e22f67c7bda33158f2d83f443728cd749cd42,3847421323,13,0,943,1468460034,1599249635
Course,"[Coursera] The Social Context of Mental Health and Illness (University of Toronto)",ab9ba816268fd74292d888cfb3f413803a178b90,1525882637,13,0,1955,1468460104,1599249262
Course,"Large Scale Machine Learning - UToronto - STA 4273H Winter 2015",deb96e8d1f88d9b3a09098ce27c986507ae97b5e,3145762100,16,0,2701,1473351231,1599249453
Course,"Regularization Methods for Machine Learning 2016",493251615310f9b6ae1f483126292378137074cd,4589105323,12,0,3484,1473353495,1599249488
Course,"MIT Course 9.520 - Statistical Learning Theory and Applications, Fall 2015",8b47f45382645882a23e0f8d9d9fbb764b3eb378,41055413520,9,0,2722,1473393315,1599249375
Course,"[Coursera] Algorithms Part I",a2934d859a14c07a80092ab03552310838f66590,1622615266,33,0,60442,1474904264,1599249656
Course,"[Coursera] Algorithms Part II",7afeafb540f4ff63690f1a6517748341f6809516,1925417068,24,1,20840,1474904355,1599249547
Course,"[Coursera] Introduction to Mathematical Thinking",2b5e5cc8c7414bc3b0f6974190065bc8c2f629dc,1902737188,37,0,26500,1474904882,1599249408
Course,"[Coursera] Learn to Program: Crafting Quality Code",5d940b05a2097b5fcf2392916e6c4901743fb219,360725589,22,0,4789,1474904962,1599249490
Course,"[Coursera] Computer Architecture",53bae6d22f3b6e692673f9335e0a0198c1618426,5558550001,22,1,25522,1474905299,1599249638
Course,"[Coursera] The Hardware/Software Interface",f1384286c8581bffba11e378fdb37608e649d82a,1311351354,15,0,9598,1474905402,1599249661
Course,"[Coursera] Coding the Matrix: Linear Algebra through Computer Science Applications",54cd86f3038dfd446b037891406ba4e0b1200d5a,2978388394,26,2,19527,1474905474,1599249510
Course,"[Coursera] Designing and Executing Information Security Strategies",55284a002672598923af36bc55f3205b42c93b00,1007286635,15,0,6046,1474905602,1599249656
